f1-score,precision,recall,support
0.6294416243654822,0.5454545454545454,0.744,1000.0
0.7288659793814433,0.752127659574468,0.707,1000.0
0.4362292051756007,0.4054982817869416,0.472,1000.0
0.38267148014440433,0.48036253776435045,0.318,1000.0
0.528793189784677,0.5295887662988967,0.528,1000.0
0.49521203830369365,0.4551550712489522,0.543,1000.0
0.7019740009629273,0.6768802228412256,0.729,1000.0
0.6564156945917287,0.698645598194131,0.619,1000.0
0.6824058459808882,0.7792041078305519,0.607,1000.0
0.6780185758513932,0.7004264392324094,0.657,1000.0
0.5924,0.5924,0.5924,0.5924
0.5920027634542239,0.6023343230226472,0.5924,10000.0
0.5920027634542239,0.6023343230226472,0.5924,10000.0
