f1-score,precision,recall,support
0.6435546875,0.6288167938931297,0.659,1000.0
0.6640159045725647,0.6600790513833992,0.668,1000.0
0.4593453009503696,0.4865771812080537,0.435,1000.0
0.4003831417624521,0.38419117647058826,0.418,1000.0
0.49007936507936506,0.4862204724409449,0.494,1000.0
0.4571728849185497,0.48172757475083056,0.435,1000.0
0.6192170818505338,0.5576923076923077,0.696,1000.0
0.6315245478036174,0.653475935828877,0.611,1000.0
0.7027027027027026,0.7169614984391259,0.689,1000.0
0.6195250659630608,0.6558659217877095,0.587,1000.0
0.5692,0.5692,0.5692,0.5692
0.5687520683103215,0.5711607913894967,0.5691999999999999,10000.0
0.5687520683103215,0.5711607913894965,0.5692,10000.0
